,Pais,Sede,Red Social,URL
160,Philippines,EFILI,Facebook,https://www.facebook.com/ArgentinaEnFilipinas
161,Philippines,EFILI,Instagram,https://www.instagram.com/argentinaenfilipinas/
162,Philippines,EFILI,Twitter,https://twitter.com/ArgentinaEnFili
163,Poland,EPOLO,Facebook,https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/
164,Qatar,EQATR,Instagram,@embargenqatar
165,Romania,ERUMA,Facebook,https://www.facebook.com/ArgentinaEnRumania
166,Romania,ERUMA,Instagram,https://www.instagram.com/argentinaenrumania
167,Russian Federation,EFRUS,Facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
168,Russian Federation,EFRUS,Twitter,https://twitter.com/EmbArgRusia
169,Saudi Arabia,EARAB,Facebook,https://www.facebook.com/argentinaenarabiasaudita/
170,Saudi Arabia,EARAB,Instagram,https://www.instagram.com/arginsaudi/
171,Saudi Arabia,EARAB,Twitter,https://twitter.com/ensaudita
172,Senegal,ESENE,Instagram,@ARGenSenegal
173,Serbia,ESERB,Facebook,Facebook.com/ArgentinaEnSerbia
174,Serbia,ESERB,Instagram,Instagram.com/ARGinSerbia
175,Singapore,ESING,Instagram,https://instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=
176,Singapore,ESING,Twitter,https://twitter.com/ARGinSingapore
177,South Africa,ESAFR,Facebook,facebook.com/ArgenSudafrica
178,South Africa,ESAFR,Instagram,https://www.instagram.com/argentinaensudafrica
179,South Africa,ESAFR,Twitter,https://twitter.com/EmbArgentina
180,Spain,CBARC,Facebook,facebook.com/ArgEnBarcelona
181,Spain,CBARC,Instagram,instagram.com/argenbarcelona
182,Spain,CBARC,LinkedIn,linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/
183,Spain,CBARC,Twitter,twitter.com/ARGenBarcelona
184,Spain,CCADI,Facebook,www.facebook.com/ArgentinaEnCadiz
185,Spain,CMADR,Facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
186,Spain,CMALL,Facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
187,Spain,CTENE,Facebook,www.facebook.com/argentinaentenerife
188,Spain,CVIGO,Facebook,facebook.com/ArgentinaenVigo
189,Spain,CVIGO,Instagram,https://www.instagram.com/argenvigo/
190,Spain,EESPA,Facebook,https://www.facebook.com/argenespa/
191,Spain,EESPA,Instagram,https://www.instagram.com/argenespa/
192,Spain,EESPA,Twitter,https://twitter.com/ARGenesp
193,Sweden,ESUEC,Facebook,https://www.facebook.com/arginsweden/
194,Sweden,ESUEC,Instagram,https://www.instagram.com/arginsweden/
195,Sweden,ESUEC,LinkedIn,https://se.linkedin.com/showcase/arginsweden
196,Switzerland,EOIRS,Facebook,https://www.facebook.com/ArgentinaEnGinebra
197,Switzerland,EOIRS,Instagram,www.instagram.com/misionargentinaonu
198,Switzerland,EOIRS,Twitter,https://twitter.com/ArgentinaONUOMC  
199,Switzerland,EOIRS,Youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
200,Thailand,ETAIL,Facebook,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F
201,Trinidad and Tobago,ETRIN,Facebook,www.facebook.com/ArgentinaEnTrinidadYTobago
202,Tunisia,ETUNE,Facebook,https://www.facebook.com/ArgEnTunez/
203,Tunisia,ETUNE,Instagram,https://www.instagram.com/embargentinatn
204,Tunisia,ETUNE,Twitter,https://www.twitter.com/EmbajadaTunez
205,Tunisia,ETUNE,Youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
206,Turkiye,ETURQ,Instagram,@ARGenTurquia
207,Turkiye,ETURQ,Instagram,@Argentinaenturquia/
208,Turkiye,ETURQ,Instagram,@embargenturquia
209,Ukraine,EUCRA,Facebook,https://www.facebook.com/ArgentinaEnUcrania
210,Ukraine,EUCRA,Instagram,https://www.instagram.com/argenucrania/
211,United Arab Emirates,EEARB,Facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
212,United States,CCHIC,Facebook,https://www.facebook.com/ArgentinaEnChicago
213,United States,CCHIC,Twitter,https://twitter.com/argenchicago
214,United States,CCHIC,Youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
215,United States,CHOUS,Facebook,https://www.facebook.com/ArgentinaEnHouston/
216,United States,CHOUS,Instagram,@ARGenHouston
217,United States,CLANG,Facebook,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel  
218,United States,CLANG,Instagram,@arg_clang
219,United States,CMIAM,Facebook,https://es-la.facebook.com/consuladoargentino.miami/
220,United States,CMIAM,Instagram,@argenmiami
221,United States,CNYOR,Facebook,https://www.facebook.com/ARGenNewYork
222,United States,CNYOR,Instagram,https://www.instagram.com/argennewyork/
223,United States,CNYOR,Twitter,https://twitter.com/ARGenNewYork
224,United States,CNYOR,Youtube,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg
225,United States,EEEUU,Facebook,https://www.facebook.com/ARGinUSA/
226,United States,EEEUU,Flickr,https://www.flickr.com/photos/ARGinUSA/
227,United States,EEEUU,Instagram,https://www.instagram.com/ARGinUSA/
228,United States,EEEUU,LinkedIn,www.linkedin.com/in/ARGinUSA
229,United States,EEEUU,Twitter,https://twitter.com/ARGinUSA
230,United States,EEEUU,Youtube,https://www.youtube.com/ARGinUSA
231,United States,EEOEA,Facebook,www.facebook.com/ARGenOEA/
232,United States,EEOEA,Instagram,www.instagram.com/argenoea/
233,United States,EEOEA,Twitter,www.twitter.com/ARGenOEA
234,United States,EEOEA,Youtube,www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured
235,Uruguay,CCOLO,Facebook,https://www.facebook.com/ArgentinaenColonia
236,Uruguay,CMALD,Facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
237,Uruguay,CMALD,Instagram,https://www.instagram.com/consulado_argentino/
238,Uruguay,CMDEO,Facebook,https://www.facebook.com/ArgentinaEnMontevideo/
239,Uruguay,CSLTO,Instagram,@consuladoargentinoensalto
240,Uruguay,EURUG,Facebook,https://www.facebook.com/ArgentinaEnUru/
241,Uruguay,EURUG,Instagram,https://www.instagram.com/argentinaenuru/
242,Uruguay,EURUG,Twitter,https://twitter.com/ArgentinaEnUru
243,Viet Nam,EVIET,Facebook,https://www.facebook.com/ArgentinaEnVietnam/
244,Viet Nam,EVIET,Instagram,https://www.instagram.com/argenvietnam/
245,West Bank and Gaza,REPAL,Facebook,https://www.facebook.com/ArgEnPalestina
